number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_f1,user_attrs_f2,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,user_attrs_threshold,state
0,0.7121797730352477,2026-02-25 13:07:56.311357,2026-02-25 13:08:23.125838,0 days 00:00:26.814481,1.416145155592091,Bayesian,93,5,5.100627805979912,0.13125830316209655,16,5.986584841970366,1.116167224336399,,1163,0.6423168614062454,0.7840206926282511,0.49362164118338914,0.9192148934377896,0.820081438814054,0.17829125633927861,COMPLETE
1,0.7132480265229678,2026-02-25 13:08:23.127392,2026-02-25 13:08:50.134304,0 days 00:00:27.006912,0.5824582803960838,Bayesian,99,4,11.999975480350798,0.13826189316223852,19,2.1233911067827616,1.6084844859190754,,1405,0.6388380537400146,0.7850024272537766,0.4875410126806775,0.9262909611658664,0.8211482433065365,0.22691764020490507,COMPLETE
2,0.6975288626429947,2026-02-25 13:08:50.136218,2026-02-25 13:10:19.579873,0 days 00:01:29.443655,,MVS,214,7,0.12040216379191711,0.01459007452373112,46,3.663618432936917,1.3993475643167195,0.6185801650879991,3969,0.6388119512051388,0.779284266221909,0.49123125028322834,0.9131496925280095,0.8116911000529282,0.23838876216067176,COMPLETE
3,0.6989345770249897,2026-02-25 13:10:19.581355,2026-02-25 13:11:49.004664,0 days 00:01:29.423309,,MVS,219,7,0.017402990823522552,0.015869086642715014,97,9.488855372533333,1.6092275383467414,0.7760609974958406,3999,0.6486355513826211,0.7801253096313565,0.5063841861344935,0.9020301575267459,0.8126481316654631,0.28497664076769064,COMPLETE
4,0.6913511430356852,2026-02-25 13:11:49.006360,2026-02-25 13:12:52.362025,0 days 00:01:03.355665,,MVS,191,4,0.01340300279322701,0.03822726574649208,26,9.093204020787821,1.623422152178822,0.6739417822102108,3999,0.6401187824795843,0.7777681561020667,0.49431297009722985,0.9079268806334765,0.8081148653387997,0.2710903649346486,COMPLETE
5,0.7131236023254434,2026-02-25 13:12:52.363517,2026-02-25 13:13:30.557321,0 days 00:00:38.193804,0.6506606615265287,Bayesian,240,8,29.866092370009415,0.08158812228791566,60,8.948273504276488,1.176985004103839,,892,0.6480226831816147,0.785323649411152,0.5018027179439771,0.914497514952405,0.8211042997141224,0.19260234186330283,COMPLETE
6,0.711615063966287,2026-02-25 13:13:30.558695,2026-02-25 13:14:44.822175,0 days 00:01:14.263480,1.9737738732010346,Bayesian,168,5,11.627201204016838,0.02085120818436357,29,3.567533266935893,1.2818484499495253,,3997,0.6349847165349789,0.7831728101748445,0.48274652518963473,0.9274703057872126,0.8197598933003282,0.18930923278076975,COMPLETE
7,0.6974412532912524,2026-02-25 13:14:44.823731,2026-02-25 13:16:15.774694,0 days 00:01:30.950963,,MVS,203,7,0.010481565330759975,0.017128044242493735,71,8.154614284548341,2.5425406933718913,0.6463476238100518,3999,0.6433478702431448,0.7793345008756567,0.4984032952283982,0.907168730519754,0.8120682268223831,0.3684007440365889,COMPLETE
8,0.7013872841013038,2026-02-25 13:16:15.776290,2026-02-25 13:17:42.919073,0 days 00:01:27.142783,,MVS,126,8,0.16748729494641598,0.054082340576877566,32,0.6355835028602363,2.459212356676128,0.7888859700647797,3062,0.6380493502701124,0.7819433708379856,0.4882899794404219,0.920309999157611,0.8151493602579045,0.3301944001480656,COMPLETE
9,0.7128410577110033,2026-02-25 13:17:42.920458,2026-02-25 13:18:19.147137,0 days 00:00:36.226679,0.2157828539866089,Bayesian,158,4,6.518100832986183,0.06899870818520017,78,5.612771975694963,2.0454656587639883,,1954,0.6396765843585492,0.7855448882793302,0.4884950248756219,0.9263752000673912,0.8210460513270209,0.2728399480628362,COMPLETE
10,0.7112495311739319,2026-02-25 13:18:19.149155,2026-02-25 13:18:47.431531,0 days 00:00:28.282376,0.8876970652227818,Bayesian,71,5,1.3980176651167553,0.1250138965738544,2,0.1796187561481961,2.91954149189084,,1239,0.6416190057193136,0.7845584437941125,0.492170626349892,0.9214051048774324,0.8203991237952832,0.34895939235223816,COMPLETE
11,0.7136620476502847,2026-02-25 13:18:47.433197,2026-02-25 13:19:13.902941,0 days 00:00:26.469744,0.4357071676726746,Bayesian,247,8,36.69802426091174,0.08369046673242664,59,2.2261697040856316,1.883649092863644,,553,0.6356276470079807,0.7843206962259321,0.48301077152114896,0.9292393227192317,0.8211363653611159,0.2422791890901231,COMPLETE
12,0.7131364633518118,2026-02-25 13:19:13.904519,2026-02-25 13:19:45.970058,0 days 00:00:32.065539,0.15980451368601667,Bayesian,116,6,38.197219622195,0.10214061795432927,49,2.1350463430381605,1.9985170428229388,,1197,0.6422898158498559,0.7841883718591521,0.4934683361207793,0.9196360879454132,0.8212315651313582,0.2721603775544746,COMPLETE
13,0.71396099509582,2026-02-25 13:19:45.971904,2026-02-25 13:20:32.042517,0 days 00:00:46.070613,0.6200744542112029,Bayesian,138,6,1.5384872812807024,0.04025066733604184,6,2.219368922185515,1.9391178522711994,,1833,0.6495787990526726,0.785413948093374,0.5042353160197338,0.912644259118861,0.8213128165253697,0.2858455537004775,COMPLETE
