iter	Logloss
0	0.6870335764
1	0.6795469853
2	0.6730584276
3	0.666473085
4	0.6609428612
5	0.655097328
6	0.6492240088
7	0.6438418351
8	0.6384931665
9	0.6339596459
10	0.6288838336
11	0.6240024339
12	0.6195980693
13	0.6155080291
14	0.6118327526
15	0.6080460154
16	0.6043852241
17	0.601190201
18	0.5978823588
19	0.5945661353
20	0.5912753071
21	0.5882344942
22	0.5854401123
23	0.5829481288
24	0.5804582655
25	0.5780264912
26	0.5761574593
27	0.5739060975
28	0.5717152594
29	0.5695193197
30	0.5679385453
31	0.5660530818
32	0.5645113924
33	0.5629694175
34	0.5612029305
35	0.5594614581
36	0.5579166955
37	0.5564331508
38	0.555047837
39	0.5537107745
40	0.5524030008
41	0.5512836701
42	0.5500217809
43	0.5488218599
44	0.5477134023
45	0.546534521
46	0.5454580724
47	0.5445272688
48	0.5433523232
49	0.5423500442
50	0.5414774124
51	0.540698377
52	0.5398058371
53	0.5388949238
54	0.5381168018
55	0.5374377525
56	0.53663359
57	0.5358886111
58	0.5352864191
59	0.534396363
60	0.5338314502
61	0.5332997924
62	0.5326446125
63	0.5320584011
64	0.5316574173
65	0.531098965
66	0.5304806772
67	0.5300388587
68	0.5295171413
69	0.5290463392
70	0.5286771129
71	0.5281211336
72	0.5278009137
73	0.5274801452
74	0.5270999207
75	0.5266319777
76	0.5263165627
77	0.5260517269
78	0.5256948854
79	0.5253582691
80	0.5249389737
81	0.5246876316
82	0.5243672937
83	0.5242141333
84	0.523934404
85	0.5236619098
86	0.5234186379
87	0.5231017814
88	0.5227561325
89	0.5224052113
90	0.521988452
91	0.5217429576
92	0.5215140067
93	0.5212658703
94	0.5210014837
95	0.5209371859
96	0.5207078544
97	0.5205234322
98	0.5203465864
99	0.5200654107
100	0.5198353146
101	0.5196782936
102	0.5195074894
103	0.5193590307
104	0.519140377
105	0.5189234747
106	0.5187486489
107	0.5185907417
108	0.5184168518
109	0.5181817319
110	0.5180645526
111	0.5179391961
112	0.5177715212
113	0.5176675175
114	0.5175077932
115	0.5174101234
116	0.5172389146
117	0.5171087298
118	0.5169972674
119	0.5168882651
120	0.5167754804
121	0.5166790654
122	0.5165584942
123	0.5164436663
124	0.5163583825
125	0.5162612128
126	0.5160879052
127	0.5159805885
128	0.5158483729
129	0.5156903126
130	0.515572597
131	0.5154980483
132	0.5154238387
133	0.5152807625
134	0.5151939901
135	0.5151183767
136	0.5150581571
137	0.5150196146
138	0.5149578163
139	0.5148838012
140	0.5147550574
141	0.5146590585
142	0.5145263952
143	0.5143982381
144	0.51427511
145	0.5141117632
146	0.5140551892
147	0.5139825223
148	0.5139199607
149	0.5138812346
150	0.513743717
151	0.5136973206
152	0.5136466116
153	0.513634758
154	0.5135794978
155	0.5134932804
156	0.5134801818
157	0.5134018513
158	0.5133436273
159	0.5132637202
160	0.5131975063
161	0.5131506115
162	0.5130474778
163	0.5129709567
164	0.5128869991
165	0.5127890521
166	0.512730427
167	0.5126750756
168	0.5125942113
169	0.5125224606
170	0.5124539671
171	0.5124069029
172	0.51236467
173	0.5123406907
174	0.5122675557
175	0.5122035765
176	0.5121186732
177	0.5120926101
178	0.5120871904
179	0.5120321275
180	0.5119551181
181	0.5118870567
182	0.511874067
183	0.5118156216
184	0.5117941589
185	0.5116972284
186	0.5116262942
187	0.511570995
188	0.5115211772
189	0.5114994058
190	0.5114477341
191	0.5114180724
192	0.5113412701
193	0.5112755104
194	0.5112460402
195	0.5111885018
196	0.5111136039
197	0.5110511713
198	0.5110439378
199	0.5110101672
200	0.5109332585
201	0.5108438019
202	0.5107998374
203	0.5107609466
204	0.5107115144
205	0.5106508199
206	0.5105858506
207	0.5105715372
208	0.5105291263
209	0.5104584913
210	0.5104052092
211	0.5104016328
212	0.5103912264
213	0.5103382223
214	0.5102785791
215	0.5102340664
216	0.5101983854
217	0.5101671642
218	0.51010612
219	0.5100748689
220	0.5100373704
221	0.5099747181
222	0.5099267583
223	0.5099024128
224	0.5098759604
225	0.5098515474
226	0.5098253544
227	0.5098163494
228	0.5098041371
229	0.509773215
230	0.5097681587
231	0.5097353085
232	0.5097011865
233	0.509672402
234	0.5096299601
235	0.5096119286
236	0.5096084614
237	0.5095883432
238	0.5095711808
239	0.5095452946
240	0.5095115661
241	0.5094736536
242	0.5094324987
243	0.5093647186
244	0.5093442576
245	0.5093195555
246	0.5092838041
247	0.5092507739
248	0.5092131831
249	0.5091916392
250	0.5091505141
251	0.5091155918
252	0.5090896514
253	0.5090586055
254	0.5090441918
255	0.5090087631
256	0.5089700748
257	0.5089380218
258	0.508917629
259	0.5088864202
260	0.5088674769
261	0.5088324229
262	0.5088324228
263	0.5088198625
264	0.5087845416
265	0.5087755057
266	0.5087467532
267	0.5087227889
268	0.5087071571
269	0.5086769098
270	0.5086618716
271	0.5086545008
272	0.5086299393
273	0.5086193696
274	0.5085573754
275	0.5085314044
276	0.5085181514
277	0.5084903004
278	0.5084639868
279	0.5084339521
280	0.5084053906
281	0.5083785559
282	0.5083489943
283	0.5083460511
284	0.5083387368
285	0.5083125411
286	0.5082891286
287	0.5082428103
288	0.5082247244
289	0.5081993323
290	0.5081948626
291	0.5081691167
292	0.508160944
293	0.5081402044
294	0.5081200439
295	0.508100479
296	0.5080727167
297	0.5080619859
298	0.5080287633
299	0.5080100381
300	0.5079930701
301	0.5079930697
302	0.5079789813
303	0.507966546
304	0.5079337803
305	0.5079153393
306	0.5079018656
307	0.5078984342
308	0.5078780701
309	0.5078643958
310	0.5078380015
311	0.5078216068
312	0.5077967431
313	0.5077824178
314	0.5077688697
315	0.5077415483
316	0.5077097476
317	0.5076760695
318	0.5076580218
319	0.5076420622
320	0.5076420618
321	0.5076047274
322	0.5075845081
323	0.5075657255
324	0.5075249629
325	0.5075083237
326	0.5074722636
327	0.5074625685
328	0.5074376681
329	0.5074263627
330	0.5073897364
331	0.507362714
332	0.5073437768
333	0.5073247396
334	0.5073134727
335	0.5073017158
336	0.5072897981
337	0.5072837967
338	0.5072453601
339	0.5072330118
340	0.5072074631
341	0.5071925932
342	0.5071705111
343	0.5071501198
344	0.5071405297
345	0.5071249089
346	0.5070924099
347	0.5070879011
348	0.5070590378
349	0.5070518139
350	0.5070262686
351	0.5070262682
352	0.5070000598
353	0.5069969502
354	0.5069668386
355	0.5069510518
356	0.5069321049
357	0.5069183331
358	0.5068811099
359	0.5068522049
360	0.5068522041
361	0.5068363833
362	0.5068236599
363	0.5068073329
364	0.5067775824
365	0.5067652367
366	0.506746981
367	0.5067435708
368	0.5067181457
369	0.5067181452
370	0.5066847135
371	0.5066751888
372	0.5066619271
373	0.5066317998
374	0.5066062025
375	0.5065922978
376	0.506575015
377	0.5065679274
378	0.5065671926
379	0.5065589136
380	0.5065475981
381	0.5065222222
382	0.5065152723
383	0.5064965568
384	0.5064911401
385	0.5064812035
386	0.5064638152
387	0.5064450812
388	0.5064375112
389	0.5064302046
390	0.5064142804
391	0.506410925
392	0.5063961045
393	0.5063892137
394	0.5063826035
395	0.5063807985
396	0.5063096627
397	0.5062861925
398	0.5062737527
399	0.5062731178
400	0.5062614582
401	0.5062614578
